사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,2호선,0224,서초,5,0,"1,823","5,861","9,168","25,864","17,852","54,064","28,252","118,965","30,219","92,023","23,473","46,460","35,087","41,254","30,330","31,988","41,062","32,084","42,590","30,128","51,529","25,835","57,913","29,516","82,056","34,639","95,052","31,725","44,352","21,936","34,868","13,997","36,620","13,498","20,210","12,444","7,070","7,118","1,914","1,921",22,158,2,12,0,0,2026-01-03 11:12:47
2025-12,2호선,0225,방배,0,0,"2,660","3,483","8,655","13,578","21,366","28,678","30,681","72,210","26,596","56,420","21,843","30,657","24,284","27,499","25,400","27,846","29,728","27,850","32,435","27,770","36,249","26,585","42,683","28,284","53,786","34,710","60,413","37,626","29,632","25,974","25,768","18,737","24,432","17,677","18,968","16,614","7,007","10,179","1,640","3,253",31,142,0,4,0,0,2026-01-03 11:12:47
2025-12,2호선,0226,사당,112,7,"13,676","4,085","30,302","31,288","80,084","45,345","105,862","71,038","77,666","56,272","56,774","51,255","54,721","73,309","59,672","72,261","67,280","63,098","77,714","65,755","80,602","80,203","83,087","111,253","94,951","158,151","108,158","203,439","82,638","130,305","83,386","82,299","93,441","77,084","88,373","72,393","49,651","43,923","8,697","14,523",147,"2,001",5,125,0,0,2026-01-03 11:12:47
2025-12,2호선,0227,낙성대(강감찬),66,3,"12,224","2,355","27,600","9,757","84,096","19,874","129,036","39,899","84,481","34,901","49,686","29,144","43,257","27,054","45,153","30,656","44,650","33,585","41,643","35,700","41,572","42,407","46,241","50,849","50,232","66,815","54,757","101,385","30,952","86,890","25,257","58,478","22,476","58,354","17,223","56,422","8,960","35,501","1,768","11,368",40,873,0,26,0,0,2026-01-03 11:12:47
2025-12,2호선,0228,서울대입구(관악구청),"5,149",30,"27,641","2,758","44,848","13,732","125,936","27,391","179,017","69,759","123,839","65,222","76,544","53,389","67,667","49,712","75,105","54,877","78,366","60,336","71,350","62,341","74,896","73,187","82,264","84,381","91,245","111,915","97,482","167,490","57,711","142,981","49,934","91,419","48,184","88,856","42,531","88,644","23,019","53,076","4,753","21,153",65,"3,687",0,137,0,0,2026-01-03 11:12:47
2025-12,2호선,0229,봉천,95,12,"14,288","1,533","29,544","6,769","85,647","12,670","127,055","28,657","78,490","22,781","45,789","21,207","38,150","24,790","41,394","27,602","39,631","29,601","35,979","33,111","34,339","42,442","37,472","49,725","38,123","62,702","36,282","90,879","22,098","77,667","18,067","49,530","15,865","47,367","12,081","45,409","5,494","26,214","1,141","9,703",26,753,0,4,0,0,2026-01-03 11:12:47
2025-12,2호선,0230,신림,226,12,"36,228","4,146","69,857","17,674","185,659","28,451","279,137","45,934","172,801","44,301","99,642","44,421","85,266","50,602","90,086","56,819","86,031","64,252","79,540","71,074","79,500","90,550","85,062","111,723","85,338","144,819","85,159","226,129","58,494","200,565","49,356","136,145","46,038","130,370","39,866","125,602","22,928","81,301","5,342","28,024",95,"2,260",0,29,0,0,2026-01-03 11:12:47
2025-12,2호선,0231,신대방,289,1,"22,724","1,967","34,230","9,487","90,997","14,202","131,946","24,626","85,143","17,919","48,577","18,194","38,612","20,519","40,251","24,256","38,277","27,953","33,263","31,572","33,616","41,721","35,269","48,703","35,953","63,343","31,856","90,263","20,517","78,985","15,342","56,458","12,674","59,810","10,128","57,485","4,983","34,007","1,016","11,115",30,871,2,12,0,0,2026-01-03 11:12:47
2025-12,2호선,0232,구로디지털단지,378,35,"37,881","5,070","53,135","21,347","141,800","82,453","193,061","226,567","120,058","145,554","76,276","63,485","69,224","51,407","78,147","58,073","77,399","71,278","70,760","67,170","81,365","75,410","97,233","91,064","145,830","121,840","208,003","165,969","103,305","133,262","67,135","91,636","55,850","92,485","43,250","86,660","20,541","53,943","4,254","17,671",83,"1,729",2,53,0,0,2026-01-03 11:12:47
2025-12,2호선,0233,대림(구로구청),740,9,"32,810","3,056","30,555","9,709","67,604","23,570","100,204","53,623","67,300","33,843","43,142","34,921","36,955","39,492","39,724","37,884","39,299","37,022","37,697","37,048","40,075","46,448","43,339","53,711","48,430","65,684","49,786","67,467","26,149","52,194","20,018","42,213","14,993","52,336","11,245","50,267","5,789","25,374","1,038","7,362",40,683,0,28,0,0,2026-01-03 11:12:47
