사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,일산선,1957,주엽,139,1,"6,185","1,310","16,642","3,412","27,015","6,212","25,850","14,027","20,149","11,139","20,023","11,903","19,665","12,325","18,455","13,579","16,984","16,260","16,785","15,356","18,040","19,651","17,606","19,957","15,477","23,391","13,314","25,710","7,255","23,609","6,129","15,896","4,926","13,683","3,682","12,379","1,029","8,483",170,"2,074",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,일산선,1958,대화,113,0,"7,430","1,456","22,741","4,799","47,222","11,723","35,607","16,842","25,727","12,022","21,958","12,197","19,738","12,412","18,561","13,412","18,104","14,161","17,959","13,777","19,308","17,807","20,583","17,299","21,139","24,475","18,201","26,529","9,151","24,845","7,852","18,127","6,647","15,723","5,193","14,427","1,585","8,626",217,"3,533",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1015,회기,899,12,"11,827","3,905","22,142","12,576","59,207","31,208","79,987","58,893","54,566","43,061","42,899","36,813","45,486","34,244","47,809","36,818","49,693","42,557","49,759","37,813","58,942","41,483","65,318","48,568","70,811","59,971","55,703","79,722","32,685","62,734","30,284","43,505","31,667","43,465","27,638","48,608","13,308","30,693",789,"6,746",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1201,중랑,163,13,"5,805",636,"9,970","1,850","21,540","3,354","24,034","6,115","16,420","5,706","10,430","4,942","9,868","5,747","9,849","6,156","9,414","7,933","8,437","8,246","8,428","11,593","8,067","12,762","8,397","16,337","8,330","21,267","5,254","16,933","3,725","11,143","2,906","9,504","2,164","9,321",892,"5,548",22,342,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1202,상봉,571,9,"5,754",781,"8,462","2,876","22,291","4,451","24,132","8,473","14,496","5,930","9,455","6,463","9,070","6,850","11,093","8,464","9,517","8,236","9,636","9,109","10,567","10,647","10,514","11,647","10,961","16,184","10,612","23,254","6,987","19,393","5,757","11,785","5,161","9,848","3,578","10,276","1,703","6,393",105,"1,306",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1203,망우,266,15,"8,327",694,"11,535","2,966","31,790","5,324","26,639","13,472","16,732","9,096","13,578","8,899","13,029","10,491","14,566","11,096","13,510","11,513","12,785","13,485","13,718","15,503","14,262","17,125","13,567","21,793","12,868","26,781","8,520","22,108","5,801","13,338","4,753","11,016","3,125","10,441","1,317","6,861",20,541,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1204,양원,154,1,"2,728",383,"4,627","1,874","12,901","8,411","11,769","7,458","7,754","2,840","6,107","3,261","4,746","3,264","6,096","3,151","5,550","3,868","5,016","3,772","6,495","4,910","6,803","5,863","5,394","7,475","4,006","9,865","2,614","9,307","1,684","5,713","1,132","4,932","1,315","4,480",301,"3,129",2,162,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1205,구리,651,8,"5,121","1,187","11,220","3,721","26,885","6,221","27,156","13,587","14,196","11,666","12,985","11,295","12,585","11,661","13,190","12,133","12,955","13,830","12,970","13,294","14,385","16,248","15,432","18,243","15,118","22,339","13,894","31,334","9,496","23,767","8,592","14,350","5,434","12,565","4,336","11,250","1,320","7,812",50,"1,537",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1206,도농,866,1,"8,051",938,"18,637","2,866","47,385","6,939","39,896","14,184","21,884","7,464","19,556","7,697","17,861","8,208","15,895","8,717","14,393","11,342","12,591","12,126","13,475","17,103","16,675","19,034","15,780","22,352","12,958","36,639","6,352","33,516","5,280","17,904","4,520","17,637","3,265","15,181","1,073","11,302",21,"2,233",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1207,양정,122,1,182,97,607,724,"1,168","1,041","1,039","1,777",674,738,678,627,695,522,713,529,784,553,"1,031",489,"1,129",783,"1,532",630,"1,742",804,"1,577",977,510,684,301,356,271,426,109,307,37,300,1,89,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1208,덕소,"1,494",5,"3,475",783,"9,901","1,777","24,439","3,886","20,536","5,357","13,424","5,178","12,553","4,727","11,029","4,932","9,276","6,529","10,048","7,815","8,736","7,777","8,925","11,229","9,647","12,599","8,470","15,083","6,364","21,067","3,755","19,231","3,181","10,611","2,537","11,644","2,031","9,952",887,"7,633",7,"1,675",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1209,도심,4,0,"2,238",206,"7,040",765,"16,238","2,216","10,978","4,988","7,701","1,942","5,587","1,722","4,346","1,715","4,541","2,207","4,440","2,513","3,743","2,152","3,386","4,856","4,453","3,414","4,145","6,272","3,195","9,313","1,431","7,972","1,171","4,866","1,355","4,768",800,"5,534",352,"2,694",0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1210,팔당,1,0,132,85,376,401,"1,058","1,414","1,143","2,908",986,"2,774","1,003","2,406",927,"2,145",971,"1,961","1,313","1,736","1,564","1,344","2,323","1,584","2,282","1,252","2,303","1,240","2,291","1,391","1,641",790,"1,611",548,"1,260",418,861,380,155,205,0,0,1,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1211,운길산,0,0,183,15,446,210,"1,512",390,"1,556",458,"1,016","1,155",967,"1,447",840,"1,721",969,"1,114","1,237","1,117","1,465",920,"1,968","1,030","1,480","1,021","1,211",996,764,844,439,"1,108",254,587,181,725,74,575,24,357,0,17,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1212,양수,3,0,954,197,"1,880",539,"5,535","1,655","4,384","2,374","4,489","2,933","3,705","2,567","3,440","2,965","3,422","2,840","4,005","3,242","3,368","2,816","4,298","3,485","4,135","3,803","3,487","4,439","2,140","4,092","1,060","4,076",935,"3,129",609,"3,014",315,"2,045",125,"1,707",1,352,1,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1213,신원,0,0,101,0,120,46,439,135,344,336,424,360,324,401,338,297,312,227,425,258,308,223,427,324,339,288,274,334,414,307,70,199,38,228,37,152,22,132,7,74,0,15,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1214,국수,2,0,701,111,"1,030",321,"2,318",558,"1,870","1,421","2,081","1,051","1,674",873,"1,556","1,079","1,503","1,071","1,568","1,182","1,193","1,080","1,876","1,527","1,768","1,760",906,"1,931",663,"1,869",394,"1,377",414,"1,407",392,"1,352",288,"1,182",75,634,13,125,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1215,아신,0,0,412,23,750,172,"1,824",349,"1,463",821,"1,609",646,"1,517",696,"1,141",912,930,553,940,888,846,845,"1,348",930,"1,173","1,691",874,"1,463",601,"1,529",325,868,201,"1,031",146,"1,195",94,"1,157",9,475,0,173,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1216,오빈,0,0,278,56,563,275,916,205,802,539,962,337,"1,073",374,663,482,571,414,529,390,504,567,509,510,530,712,604,"1,010",298,"1,211",177,430,128,528,79,574,29,426,1,183,3,65,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1217,양평,96,1,"2,182",67,"3,965",997,"10,114","3,585","7,501","6,617","6,297","4,737","8,509","4,753","6,740","6,597","6,508","6,354","7,129","4,711","7,159","7,103","6,861","6,032","7,569","7,145","6,752","10,176","5,395","9,765","2,845","4,662","2,960","7,055","2,429","4,239","1,937","5,077",342,"4,568",75,"1,199",1,1,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1218,원덕,102,0,324,14,612,87,841,298,"1,070",375,"1,136",293,"1,135",430,764,591,665,531,683,559,696,674,717,726,667,947,429,"1,285",267,973,153,602,123,535,88,519,24,361,6,297,2,85,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1219,용문,350,3,922,4,"2,442",346,"4,250","1,462","5,259","2,989","4,286","1,668","4,850","3,340","3,774","5,642","5,463","4,256","5,898","5,510","6,373","4,456","5,955","2,290","4,630","6,418","3,231","5,883","2,087","4,396","1,319","3,018",572,"3,634",642,"2,323",321,"2,174",1,"1,999",0,756,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,중앙선,1220,지평,0,0,0,0,0,0,258,221,25,47,69,4,471,351,0,2,1,1,45,4,366,385,0,2,0,0,125,193,13,123,103,262,2,5,22,165,1,5,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1401,봉명,3,0,"1,245",434,"1,785",868,"2,537","4,517","2,998","4,620","2,488","3,222","3,000","2,557","2,878","1,743","2,385","2,061","2,661","2,434","2,436","2,266","3,143","2,225","3,324","1,984","3,838","2,970","2,101","2,615","1,251","1,757","1,036","1,450",754,"1,044",619,"1,281",688,900,28,283,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1402,쌍용(나사렛대),76,6,"3,246",358,"4,287",615,"7,156","1,489","8,225","5,649","5,174","4,270","5,106","3,686","4,556","3,594","4,468","5,542","5,899","4,640","4,918","3,657","5,485","4,702","5,386","5,337","5,276","7,000","4,604","7,998","2,797","5,196","2,077","4,443","1,642","3,808","1,376","3,324",801,"3,087",55,794,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1403,아산,60,1,"1,093","1,425","2,674","4,631","6,479","6,037","9,110","10,107","5,293","7,419","5,698","7,449","6,612","6,086","7,344","7,740","7,547","7,753","8,006","6,390","10,313","7,000","9,387","6,847","8,831","9,543","11,859","9,818","9,735","5,595","6,074","5,225","7,106","3,751","6,518","2,433","3,491","1,946",145,466,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1404,탕정,53,1,"1,063",329,"2,265","1,170","4,517","2,363","4,644","4,491","3,043","2,573","3,122","2,124","2,951","2,456","3,488","2,836","4,556","3,360","4,247","2,896","4,525","2,865","4,495","4,673","4,878","5,858","4,856","5,822","3,623","3,843","2,557","3,124","2,609","2,686","2,575","2,302","1,250","2,036",76,302,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1405,배방,46,0,"1,209",332,"1,795",577,"3,166","1,300","3,612","2,389","2,960","1,758","2,464","1,317","2,463","1,875","2,671","2,081","2,641","2,429","2,804","2,174","2,731","1,740","2,287","3,517","2,511","4,189","2,853","4,233","1,899","3,134","1,202","2,400","1,115","2,297","1,024","1,718",808,"1,647",32,344,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1407,온양온천,768,3,"2,020",537,"4,733","2,790","9,346","6,041","10,168","9,316","9,958","10,549","10,600","11,456","10,705","16,889","13,102","13,887","16,406","12,694","16,246","9,266","15,845","8,357","12,850","11,576","8,535","11,243","9,614","10,797","4,405","8,591","3,237","6,336","2,896","6,133","1,828","4,134","1,110","3,584",30,980,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,장항선,1408,신창(순천향대),335,3,663,77,"1,391",469,"2,516","2,678","2,062","6,555","2,096","4,143","3,172","3,371","3,098","3,594","3,152","3,480","4,078","3,220","4,500","2,302","5,531","2,065","5,852","2,719","4,808","1,870","5,235","3,277","1,776","2,254","1,576","2,324","1,524","2,477",588,"2,128",583,"1,775",6,715,1,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1252,신촌,0,0,252,4,221,"1,296",640,"4,904",569,"8,045",828,"4,610",757,"2,101",784,"1,274","1,017","1,712","1,051","2,255","1,076","1,285","1,617",969,"2,307","1,208","5,438","1,609","5,523","2,243","2,385",992,"1,305",719,"1,375",415,"1,029",171,560,364,4,67,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1261,효창공원앞,2,0,658,326,"2,087","2,934","5,885","5,976","9,275","19,341","6,176","9,576","4,256","4,865","4,438","4,277","4,800","4,190","4,772","4,461","4,776","4,443","5,707","4,855","7,093","5,750","9,519","7,237","14,114","9,605","5,314","6,841","3,910","5,039","3,120","4,921","2,483","4,437","1,169","3,165",65,306,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1263,서강대,7,0,467,100,"1,636","1,491","3,085","2,612","3,981","9,479","3,218","6,129","2,950","4,616","3,156","3,507","3,651","3,687","3,978","3,914","3,895","3,705","4,429","3,899","5,564","4,368","7,244","4,740","6,732","4,673","3,948","3,284","3,684","2,667","3,604","2,666","3,266","2,237","1,313","1,417",24,211,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1265,가좌,12,0,"3,032",270,"7,996","2,576","23,474","4,509","27,668","11,289","14,023","7,690","10,517","6,251","9,996","6,103","9,857","7,590","8,537","8,964","8,803","9,198","9,450","9,353","10,363","13,479","11,308","17,897","10,067","21,701","5,657","17,198","4,313","11,246","3,695","8,906","2,971","7,141","1,024","5,903",21,602,1,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1267,수색,5,0,"1,574",243,"3,605","2,123","8,004","5,666","10,717","15,953","6,042","8,417","4,402","3,898","4,222","3,070","4,084","2,961","3,779","3,945","4,019","3,630","4,274","3,878","5,389","5,159","9,227","7,874","11,621","7,307","4,629","6,805","3,174","4,880","2,534","4,102","1,767","3,380",794,"2,691",30,377,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1268,한국항공대,2,0,715,469,"1,599","1,307","4,217","2,348","4,168","8,976","3,358","8,356","3,175","5,316","4,982","3,793","4,347","4,537","4,023","4,697","5,689","4,440","5,329","3,295","8,594","3,103","7,665","3,647","7,157","3,812","3,434","2,918","2,553","2,380","2,111","1,927","1,882","2,296","1,253","1,887",126,527,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1269,강매,0,0,"2,668",271,"7,340",880,"18,632","1,251","17,771","4,088","9,349","1,170","6,618","1,484","5,206","1,507","4,930","1,920","4,074","2,496","3,370","2,987","3,268","4,381","3,923","6,120","3,357","7,994","3,686","11,752","1,171","10,178",879,"6,654",694,"6,561",543,"6,108",246,"3,702",12,"1,162",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1270,행신,10,0,"4,322","1,446","13,484","3,885","36,622","5,783","31,125","11,048","16,396","6,423","13,091","6,065","11,922","7,723","11,769","8,121","9,833","9,127","9,406","9,438","9,172","11,354","11,886","17,133","13,965","21,586","10,587","35,442","6,426","26,616","6,796","15,174","6,492","14,514","5,436","12,509","2,619","7,662",73,"2,575",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1271,능곡,210,3,"4,246",511,"8,404","1,888","20,132","3,070","18,049","7,869","10,212","4,222","8,173","4,197","7,274","4,814","7,050","5,056","6,739","5,148","6,210","5,915","6,795","6,975","7,556","8,905","7,836","11,355","6,393","15,137","3,583","12,648","2,747","8,228","2,232","8,224","1,418","7,428",625,"4,697",65,"2,630",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1272,곡산,4,0,306,130,873,678,"1,361","1,526","1,216","2,754",972,924,"1,034",805,893,725,766,893,859,731,"1,081",820,"1,173",803,"1,395",972,"1,611","1,135","1,816","1,748",530,843,461,682,382,713,196,539,62,336,8,47,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1273,백마,26,3,"5,537",596,"17,376","4,329","37,684","6,450","27,444","11,397","16,359","6,336","13,069","5,359","12,514","5,058","11,905","6,087","10,847","8,215","9,652","8,992","10,993","10,573","12,413","14,062","13,034","16,679","11,066","30,816","4,772","26,165","3,783","15,660","3,375","16,298","2,686","14,288",787,"9,476",77,"1,550",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1274,풍산,115,1,"5,167",403,"11,789","2,488","25,478","4,666","22,431","7,974","14,947","6,612","11,718","5,670","11,288","8,398","10,465","8,003","10,462","9,399","10,837","7,984","11,624","10,442","11,697","13,084","11,654","16,656","9,516","23,646","5,482","17,123","4,993","14,155","5,006","12,097","2,837","10,843","1,122","7,563",67,"1,629",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1275,일산,325,3,"9,180",735,"25,256","3,506","49,135","8,316","36,967","17,424","22,974","8,942","18,424","7,710","19,077","9,904","17,314","12,234","16,593","14,026","15,403","14,387","17,495","16,955","18,886","20,132","15,491","26,971","13,422","37,572","7,301","37,965","5,784","19,905","4,504","21,631","4,160","18,683","1,272","10,807",188,"4,114",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1276,탄현,69,0,"6,459",502,"19,875","3,547","36,024","5,679","26,846","9,195","18,246","5,790","14,020","5,066","13,059","5,443","13,172","7,110","11,793","7,824","10,927","10,291","11,438","12,181","12,648","15,670","12,277","21,712","10,913","29,869","5,794","29,269","4,795","15,193","4,130","17,426","3,210","13,058","1,167","9,130",167,"2,691",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1277,야당,88,5,"5,521",545,"15,079","2,399","29,098","5,116","26,653","8,624","14,932","8,125","12,687","6,637","11,998","7,659","12,346","9,155","11,547","10,167","10,659","13,520","11,358","13,963","12,861","21,302","13,482","26,432","11,717","36,264","8,752","27,841","9,938","15,242","10,754","15,069","10,059","11,494","4,771","8,645",947,"2,476",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1278,운정,65,0,"4,558",403,"17,430","3,980","29,295","8,020","29,565","12,286","15,424","8,845","12,306","7,179","11,698","9,469","11,490","11,291","11,727","9,998","11,671","13,877","13,622","13,510","15,958","19,642","16,462","20,939","14,856","26,812","8,241","21,228","7,106","12,509","6,100","12,103","5,138","9,731","1,259","6,853",165,"1,876",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1279,금릉,50,0,"3,339",313,"10,010","2,132","16,974","6,276","14,859","11,789","10,410","5,631","8,946","4,406","10,437","4,650","8,963","6,455","8,690","7,246","7,283","8,015","9,025","8,242","9,679","10,954","10,744","12,921","10,597","14,975","4,654","14,376","4,251","9,145","3,292","8,329","2,775","7,627",575,"5,324",63,"1,851",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1280,금촌,82,0,"3,796",348,"9,048","3,977","18,861","8,970","18,539","16,402","13,010","8,153","11,638","7,791","12,526","7,655","12,450","10,085","12,467","10,134","11,976","9,615","12,563","11,745","13,611","14,073","15,528","17,091","16,060","17,772","7,335","15,463","5,659","11,640","4,552","9,147","2,862","8,463",585,"6,121",116,"1,858",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1282,월롱,162,5,512,83,971,"2,920","1,706","7,829","1,994","9,918","2,004","3,757","1,945","2,213","2,142","1,894","3,173","2,215","3,672","1,758","2,773","1,400","5,248","1,827","6,724","2,004","10,775","2,739","9,102","2,575","3,502","2,130","2,571","2,173","1,951","2,296",918,"2,016",55,"1,475",7,606,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1283,파주,95,4,737,2,"1,312",807,"2,550","2,427","2,967","5,252","2,016","2,008","2,059","1,482","2,363","1,175","2,415","1,265","2,263","1,194","2,074","1,031","2,705","1,517","3,399","1,484","4,020","1,701","4,396","1,862","1,020","1,887",846,"1,452",859,"1,274",260,"1,150",28,817,10,385,0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1284,문산,"1,250",2,"2,854",40,"7,965","2,320","15,872","7,629","17,920","13,790","13,320","5,309","10,197","7,141","10,704","8,674","11,142","8,360","11,529","9,694","11,629","6,790","11,384","11,258","11,685","11,707","13,410","13,240","11,844","14,806","5,448","15,874","4,239","10,086","2,979","7,954","1,908","7,823",125,"5,987",3,"3,178",0,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1285,임진강,0,0,0,0,0,0,1,1,10,10,53,182,19,94,0,0,0,0,0,0,1,1,33,40,43,10,272,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1286,운천,0,0,0,0,0,0,0,0,0,0,96,15,23,24,11,4,0,3,0,0,0,0,2,14,16,1,30,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1291,서울역,1,0,563,24,904,"7,495","2,901","19,648","3,180","28,325","1,822","17,964","1,620","6,896","1,840","5,365","2,480","5,052","3,556","6,092","3,910","3,185","6,240","2,890","8,536","3,868","13,814","5,165","22,042","5,580","9,036","2,582","5,541","1,561","5,428","1,421",909,191,"2,324",882,4,110,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1292,공덕,15,1,604,112,"1,622","2,152","4,526","7,054","6,044","19,730","5,275","9,522","5,941","4,216","6,278","4,367","6,204","4,694","6,636","4,268","6,653","4,295","7,329","4,859","8,931","6,138","13,350","8,015","17,157","8,211","9,566","5,169","8,690","4,258","9,723","4,013","7,727","3,543","3,543","2,087",256,301,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1293,홍대입구,2,2,435,126,863,522,"1,306","2,053","1,741","7,292","1,496","6,364","1,615","4,978","1,842","5,194","2,386","6,750","2,969","6,390","3,926","7,040","4,690","6,637","5,978","7,333","7,738","7,381","7,735","7,636","6,489","5,326","6,242","3,433","6,614","2,652","6,948","2,218","2,697","1,369",48,208,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1294,디지털미디어시티,4,0,"1,194",354,"3,036","1,764","9,389","2,152","10,293","4,410","5,901","3,247","4,792","2,376","4,243","2,673","4,417","2,796","3,958","3,432","4,159","3,604","4,422","3,788","5,562","5,336","5,790","7,762","5,706","10,101","3,000","7,542","2,405","5,228","2,032","4,553","1,438","4,128",782,"2,997",41,397,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1295,김포공항,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1296,계양,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경의선,1297,검암,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1311,신내,36,0,"1,402",609,"4,657","2,496","13,047","6,399","10,716","9,985","5,083","2,809","4,126","2,274","3,736","2,551","4,047","2,630","3,683","3,455","3,689","2,950","4,183","4,904","4,941","3,990","6,171","6,839","6,853","9,443","2,834","6,400","1,866","3,673","1,674","3,284","1,350","3,053",862,"2,340",106,881,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1312,갈매,9,1,"1,928",672,"4,244","1,169","15,100","2,608","9,803","5,140","6,456","2,355","4,563","2,915","3,683","1,828","4,038","2,392","3,766","3,056","3,566","2,763","3,620","4,485","4,306","4,374","4,424","6,677","5,426","10,636","2,328","8,812","1,819","4,142","2,187","3,412","1,532","3,850",728,"1,781",26,572,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1313,별내,29,1,"1,123",485,"2,612","1,458","8,329","4,371","7,395","6,702","5,097","3,717","3,908","3,378","3,351","2,832","4,233","2,866","4,137","3,330","4,054","3,039","4,583","4,360","5,169","4,133","5,892","6,163","6,295","8,193","3,176","5,818","2,549","2,979","2,403","2,036","1,970","2,372","1,022","1,333",62,405,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1314,퇴계원,45,1,"2,902",568,"5,490","1,855","16,975","3,529","12,700","4,877","9,295","3,060","7,181","3,773","5,591","3,204","7,150","3,084","5,747","4,161","4,018","4,282","4,778","5,793","4,885","6,890","5,267","9,066","5,545","12,340","2,366","10,030","1,796","5,780","1,380","4,716","1,136","5,304",541,"2,734",24,811,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1315,사릉,123,21,"1,506",597,"3,516","1,318","9,659","4,540","7,462","3,770","5,138","2,158","3,877","1,854","3,606","2,268","3,392","2,216","3,280","2,042","2,570","2,760","2,827","3,235","2,817","3,129","4,065","5,674","4,627","7,903","1,815","7,072","1,258","3,275","1,043","2,796",731,"2,888",357,"1,657",15,463,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1316,금곡,38,0,"1,813",294,"2,427",854,"5,591","2,860","4,785","5,794","3,853","2,279","2,928","1,644","3,159","1,523","2,762","2,449","3,055","2,026","2,233","2,571","3,135","2,530","2,749","2,656","3,658","4,198","3,465","4,770","1,394","3,639",902,"1,947",697,"2,206",563,"1,813",266,"1,138",28,323,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1317,평내호평,615,5,"5,547",731,"13,232","2,016","27,456","4,625","24,929","10,812","13,561","7,531","11,417","5,655","10,857","6,353","10,447","8,773","10,073","8,476","9,079","10,362","9,534","9,869","10,151","11,610","9,863","20,493","9,599","25,308","5,851","20,559","4,649","9,604","4,570","10,052","4,034","8,834","1,846","6,531",47,"2,589",1,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1318,천마산,6,0,"1,032",226,"3,459",645,"7,045","1,594","7,102","1,939","4,880","1,457","3,886","1,366","2,789","1,775","2,751","1,863","2,620","2,261","2,359","2,479","2,113","3,321","2,098","2,995","2,017","4,804","1,738","3,973",862,"5,671",571,"2,708",518,"2,715",291,"1,965",141,"1,223",7,317,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1319,마석,26,1,"1,378",482,"8,807","2,443","16,335","5,884","13,445","6,887","9,705","5,796","8,935","4,030","7,508","5,226","7,699","5,151","7,141","6,433","6,896","6,654","7,111","7,708","7,688","7,457","7,337","10,956","6,726","13,554","3,131","10,311","2,759","7,451","2,008","5,760","1,619","5,935",631,"2,654",51,"1,094",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1320,대성리,2,0,255,92,498,248,"1,003",572,"1,063","1,202","1,139",552,"1,261",978,"1,987",702,"1,191",738,887,"1,062","1,010","2,038","1,247","1,316","1,346","1,149","1,173","1,248",635,683,402,750,291,607,215,351,182,364,92,298,4,8,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1321,청평,7,0,750,217,"2,580",729,"4,207","1,578","4,908","3,425","4,193","2,510","3,877","2,828","4,537","1,973","3,742","3,327","3,340","2,830","3,319","2,905","3,426","4,036","3,350","4,548","3,628","4,463","2,648","4,147","1,267","3,583","1,086","2,343",751,"1,987",437,"1,790",119,"1,205",4,265,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경춘선,1322,상천,1,0,134,13,170,90,570,233,638,580,499,369,547,402,682,400,554,473,488,443,551,481,485,557,629,487,410,296,234,465,141,354,71,205,52,226,22,131,10,89,1,46,0,0,0,0,0,0,2026-01-03 11:12:47
